"[ref]"	"[name]"	"[name_short]"	"[old_name]"	"[branch]"	"iesec:level"	"_data_flag"
115407	"Tigmamale Elementary School"	""		""	"0-1"	"maPaaralan"
116576	"Tigmarabo Elementary School"	""		""	"1"	"maPaaralan"
114877	"Tigpalas Primary School"	""		""	"0-1"	"maPaaralan"
117274	"Tiguisan Primary School"	""		""	"1"	"maPaaralan"
116644	"Tigum ANP Pilot School"	""		""	"1"	"maPaaralan"
114712	"Tigum Elementary School"	""		""	"0-1"	"maPaaralan"
115124	"Tigunhao Primary School"	""	"Paaralang Buhay ng Tigunhao"	""	"1"	"maPaaralan"
116986	"Tiling Elementary School"	""		""	"1"	"maPaaralan"
115098	"Tina Elementary School"	""		""	"0-1"	"maPaaralan"
116009	"Tina Elementary School"	""		""	"1"	"maPaaralan"
115497	"Tina Elementary School"	""		""	"1"	"maPaaralan"
179011	"Tina Primary School"	""		""	"1"	"maPaaralan"
180020	"Tina-an Norte Elementary School"	""		""	"1"	"maPaaralan"
115845	"Tinadtaran Elementary School"	""		""	"1"	"maPaaralan"
114677	"Tinapuay Primary School"	""		""	"1"	"maPaaralan"
115498	"Tinaytayan Elementary School"	""		""	"1"	"maPaaralan"
115663	"Tincupon Elementary School"	""		""	"1"	"maPaaralan"
115171	"Tingib Primary School"	""		""	"0-1"	"maPaaralan"
